,Purity,Rand,HA,MA,FM,Jaccard,Clustering
Cell.Type,1,1,1,1,1,1,Cell.Type
H.manhattan.ward.D,0.777777778,0.937650794,0.621256385,0.649233888,0.656253673,0.487473904,H.manhattan.ward.D
H.canberra.ward.D,0.761904762,0.930666667,0.601485784,0.629126363,0.64296643,0.469902913,H.canberra.ward.D
H.maximum.ward.D,0.761904762,0.933587302,0.594500397,0.624628048,0.631534861,0.460824742,H.maximum.ward.D
H.euclidean.ward.D,0.793650794,0.923936508,0.574878251,0.603425932,0.621762621,0.44537037,H.euclidean.ward.D
H.minkowski.ward.D,0.793650794,0.923936508,0.574878251,0.603425932,0.621762621,0.44537037,H.minkowski.ward.D
H.manhattan.complete,0.865079365,0.91047619,0.55877013,0.58429819,0.624672746,0.434643144,H.manhattan.complete
H.canberra.ward.D2,0.76984127,0.922666667,0.551983296,0.583339984,0.597141038,0.422748815,H.canberra.ward.D2
H.euclidean.ward.D2,0.817460317,0.914666667,0.537475336,0.567443716,0.59136658,0.412073491,H.euclidean.ward.D2
H.minkowski.ward.D2,0.817460317,0.914666667,0.537475336,0.567443716,0.59136658,0.412073491,H.minkowski.ward.D2
H.correlation.ward.D,0.817460317,0.914666667,0.537475336,0.567443716,0.59136658,0.412073491,H.correlation.ward.D
H.uncentered.ward.D,0.817460317,0.914666667,0.537475336,0.567443716,0.59136658,0.412073491,H.uncentered.ward.D
H.maximum.ward.D2,0.706349206,0.920253968,0.534317912,0.567209091,0.580314863,0.406427221,H.maximum.ward.D2
H.manhattan.ward.D2,0.761904762,0.90247619,0.500979229,0.531182693,0.565814289,0.382139984,H.manhattan.ward.D2
SNN.canberra.4,0.674603175,0.917460317,0.483090091,0.52260504,0.528382032,0.358974359,SNN.canberra.4
H.correlation.ward.D2,0.849206349,0.878603175,0.454541661,0.482701332,0.543840149,0.347885402,H.correlation.ward.D2
H.uncentered.ward.D2,0.849206349,0.878603175,0.454541661,0.482701332,0.543840149,0.347885402,H.uncentered.ward.D2
H.maximum.complete,0.80952381,0.886349206,0.447304414,0.478766161,0.524073701,0.339483395,H.maximum.complete
H.euclidean.mcquitty,0.841269841,0.868190476,0.434474446,0.46201379,0.533290892,0.333333333,H.euclidean.mcquitty
H.minkowski.mcquitty,0.841269841,0.868190476,0.434474446,0.46201379,0.533290892,0.333333333,H.minkowski.mcquitty
H.correlation.mcquitty,0.841269841,0.868190476,0.434474446,0.46201379,0.533290892,0.333333333,H.correlation.mcquitty
H.uncentered.mcquitty,0.841269841,0.868190476,0.434474446,0.46201379,0.533290892,0.333333333,H.uncentered.mcquitty
H.maximum.mcquitty,0.80952381,0.86615873,0.425238685,0.453260057,0.524418059,0.326086957,H.maximum.mcquitty
H.euclidean.average,0.873015873,0.85168254,0.411442284,0.437340926,0.526154756,0.317757009,H.euclidean.average
H.minkowski.average,0.873015873,0.85168254,0.411442284,0.437340926,0.526154756,0.317757009,H.minkowski.average
SNN.canberra.5,0.642857143,0.905396825,0.42459284,0.467159135,0.477019299,0.312730627,SNN.canberra.5
H.correlation.average,0.873015873,0.840507937,0.39147474,0.416887607,0.514610708,0.303769401,H.correlation.average
H.uncentered.average,0.873015873,0.840507937,0.39147474,0.416887607,0.514610708,0.303769401,H.uncentered.average
H.canberra.complete,0.825396825,0.849396825,0.380664272,0.409220966,0.490040516,0.293627159,H.canberra.complete
H.euclidean.complete,0.817460317,0.84647619,0.374870857,0.403325546,0.486313918,0.289659224,H.euclidean.complete
H.minkowski.complete,0.817460317,0.84647619,0.374870857,0.403325546,0.486313918,0.289659224,H.minkowski.complete
H.correlation.complete,0.817460317,0.84647619,0.374870857,0.403325546,0.486313918,0.289659224,H.correlation.complete
H.uncentered.complete,0.817460317,0.84647619,0.374870857,0.403325546,0.486313918,0.289659224,H.uncentered.complete
H.canberra.average,0.873015873,0.813968254,0.347059532,0.371379566,0.487735287,0.273673773,H.canberra.average
SNN.canberra.8,0.738095238,0.856634921,0.355529754,0.3888207,0.451241139,0.272551546,SNN.canberra.8
SNN.manhattan.4,0.571428571,0.902984127,0.373452898,0.423018479,0.426484602,0.270992366,SNN.manhattan.4
SNN.canberra.6,0.738095238,0.857650794,0.353372075,0.38721411,0.447583079,0.270657124,SNN.canberra.6
SNN.canberra.7,0.738095238,0.853587302,0.348603693,0.381818042,0.446407159,0.267936508,SNN.canberra.7
SNN.manhattan.5,0.619047619,0.888888889,0.357081137,0.40201624,0.419899435,0.264087468,SNN.manhattan.5
H.maximum.average,0.825396825,0.816888889,0.334467545,0.360486635,0.468468751,0.263910158,H.maximum.average
SNN.canberra.3,0.492063492,0.921904762,0.373553166,0.436112059,0.430744972,0.259036145,SNN.canberra.3
H.correlation.centroid,0.523809524,0.902095238,0.348693719,0.401931347,0.402373822,0.251456311,H.correlation.centroid
H.uncentered.centroid,0.523809524,0.902095238,0.348693719,0.401931347,0.402373822,0.251456311,H.uncentered.centroid
H.canberra.mcquitty,0.849206349,0.795428571,0.310000148,0.334295095,0.458685368,0.248951049,H.canberra.mcquitty
H.manhattan.mcquitty,0.849206349,0.803301587,0.310130516,0.335799533,0.45127012,0.248058252,H.manhattan.mcquitty
H.manhattan.average,0.785714286,0.80368254,0.306608005,0.332662741,0.446450193,0.245485603,H.manhattan.average
SNN.manhattan.7,0.650793651,0.865269841,0.319747816,0.360266709,0.401403766,0.243223966,SNN.manhattan.7
H.correlation.median,0.476190476,0.914793651,0.335565624,0.399983778,0.391041461,0.233142857,H.correlation.median
H.uncentered.median,0.476190476,0.914793651,0.335565624,0.399983778,0.391041461,0.233142857,H.uncentered.median
SNN.manhattan.6,0.698412698,0.845714286,0.298479764,0.335238474,0.396249539,0.232469994,SNN.manhattan.6
H.canberra.centroid,0.412698413,0.927365079,0.338705704,0.413892969,0.423448721,0.224932249,H.canberra.centroid
SNN.manhattan.8,0.753968254,0.797460317,0.27356974,0.301453919,0.411028066,0.223088164,SNN.manhattan.8
SNN.manhattan.9,0.753968254,0.797460317,0.27356974,0.301453919,0.411028066,0.223088164,SNN.manhattan.9
SNN.manhattan.3,0.436507937,0.920507937,0.316825352,0.390084317,0.384331221,0.213567839,SNN.manhattan.3
SNN.euclidean.6,0.595238095,0.849650794,0.256286153,0.299504571,0.345697083,0.201618341,SNN.euclidean.6
SNN.minkowski.6,0.595238095,0.849650794,0.256286153,0.299504571,0.345697083,0.201618341,SNN.minkowski.6
SNN.euclidean.5,0.555555556,0.862603175,0.254430368,0.302802681,0.333077836,0.196733482,SNN.euclidean.5
SNN.minkowski.5,0.555555556,0.862603175,0.254430368,0.302802681,0.333077836,0.196733482,SNN.minkowski.5
SNN.euclidean.7,0.587301587,0.843555556,0.243450018,0.28622277,0.336745732,0.194244604,SNN.euclidean.7
SNN.minkowski.7,0.587301587,0.843555556,0.243450018,0.28622277,0.336745732,0.194244604,SNN.minkowski.7
SNN.maximum.4,0.484126984,0.882539683,0.259030106,0.31613541,0.323350394,0.192844677,SNN.maximum.4
H.maximum.centroid,0.404761905,0.920888889,0.288597771,0.368479001,0.364684563,0.190909091,H.maximum.centroid
H.maximum.median,0.365079365,0.924825397,0.292556762,0.375705293,0.384540256,0.190150479,H.maximum.median
SNN.euclidean.8,0.587301587,0.840253968,0.230613726,0.273897249,0.325410434,0.186287193,SNN.euclidean.8
SNN.minkowski.8,0.587301587,0.840253968,0.230613726,0.273897249,0.325410434,0.186287193,SNN.minkowski.8
SNN.euclidean.4,0.46031746,0.880888889,0.241065236,0.300210787,0.306213353,0.180786026,SNN.euclidean.4
SNN.minkowski.4,0.46031746,0.880888889,0.241065236,0.300210787,0.306213353,0.180786026,SNN.minkowski.4
SNN.maximum.7,0.555555556,0.835428571,0.213744177,0.257542323,0.310839662,0.176096631,SNN.maximum.7
SNN.maximum.5,0.515873016,0.861714286,0.222546851,0.275112018,0.300304562,0.175,SNN.maximum.5
SNN.maximum.6,0.587301587,0.820190476,0.205594394,0.245745317,0.313459399,0.17386231,SNN.maximum.6
SNN.euclidean.9,0.658730159,0.77231746,0.191321694,0.221945684,0.331506565,0.17182448,SNN.euclidean.9
SNN.minkowski.9,0.658730159,0.77231746,0.191321694,0.221945684,0.331506565,0.17182448,SNN.minkowski.9
K.11,0.507936508,0.850793651,0.205310802,0.255752208,0.290292523,0.166666667,K.11
SNN.canberra.9,0.777777778,0.690285714,0.165026865,0.185911335,0.349944653,0.162718847,SNN.canberra.9
SNN.maximum.8,0.658730159,0.744380952,0.146898348,0.176484297,0.296703765,0.147395172,SNN.maximum.8
H.manhattan.median,0.325396825,0.92431746,0.234770989,0.331329746,0.353470587,0.146131805,H.manhattan.median
H.euclidean.centroid,0.333333333,0.91631746,0.217908772,0.309198959,0.296221902,0.141927083,H.euclidean.centroid
H.minkowski.centroid,0.333333333,0.91631746,0.217908772,0.309198959,0.296221902,0.141927083,H.minkowski.centroid
SNN.euclidean.3,0.349206349,0.903746032,0.198833667,0.281965349,0.260090097,0.138636364,SNN.euclidean.3
SNN.minkowski.3,0.349206349,0.903746032,0.198833667,0.281965349,0.260090097,0.138636364,SNN.minkowski.3
SNN.maximum.9,0.880952381,0.547047619,0.106960082,0.119336563,0.338831979,0.135272727,SNN.maximum.9
H.manhattan.centroid,0.317460317,0.920634921,0.210133307,0.308264519,0.310806239,0.131944444,H.manhattan.centroid
H.euclidean.median,0.301587302,0.919238095,0.200415461,0.299244857,0.2956824,0.126373626,H.euclidean.median
H.minkowski.median,0.301587302,0.919238095,0.200415461,0.299244857,0.2956824,0.126373626,H.minkowski.median
SNN.maximum.3,0.341269841,0.904126984,0.173803471,0.262645421,0.236350208,0.121071013,SNN.maximum.3
H.manhattan.single,0.928571429,0.25168254,0.019963466,0.023335652,0.293965437,0.09435992,H.manhattan.single
H.canberra.single,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.canberra.single
H.canberra.median,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.canberra.median
H.binary.ward.D,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.ward.D
H.binary.single,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.single
H.binary.complete,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.complete
H.binary.average,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.average
H.binary.mcquitty,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.mcquitty
H.binary.median,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.median
H.binary.centroid,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.centroid
H.binary.ward.D2,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.ward.D2
H.maximum.single,0.904761905,0.258793651,0.014069905,0.017783975,0.283030233,0.091234626,H.maximum.single
H.euclidean.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.euclidean.single
H.minkowski.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.minkowski.single
H.correlation.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.correlation.single
H.uncentered.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.uncentered.single
SNN.binary.3,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.3
SNN.binary.4,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.4
SNN.binary.5,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.5
SNN.binary.6,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.6
SNN.binary.7,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.7
SNN.binary.8,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.8
SNN.binary.9,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.9
,,,,,,TRUE,
H.manhattan.centroid,1,0.085968254,0,0,0.293203434,0.085968254,H.manhattan.centroid
